                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.98368,                 1.4649,                 1.0873,                0.69473,                0.76749,                0.74592,                0.53605,                 1.0888,                 1.3522,                 1.0824,               0.001113,               0.001113,               0.001113
                     70,                 1.0742,                 1.3842,                 1.1454,                0.77362,                0.68981,                0.75012,                0.51569,                 1.0992,                 1.4445,                 1.0993,              0.0011083,              0.0011083,              0.0011083
                     71,                 1.0502,                  1.768,                 1.1776,                0.77362,                0.68981,                0.75012,                0.51569,                 1.0992,                 1.4445,                 1.0993,              0.0011036,              0.0011036,              0.0011036
                     72,                0.94483,                  1.337,                 1.0524,                0.76497,                0.81431,                0.75247,                 0.5188,                 1.1124,                 1.4032,                 1.1067,              0.0010989,              0.0010989,              0.0010989
                     73,                 1.0768,                 1.3526,                 1.1553,                0.76497,                0.81431,                0.75247,                 0.5188,                 1.1124,                 1.4032,                 1.1067,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.0152,                 1.4703,                 1.0837,                0.66194,                0.81481,                0.75273,                0.54447,                 1.1184,                 1.3729,                 1.1147,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.0609,                 1.3301,                 1.1286,                0.66194,                0.81481,                0.75273,                0.54447,                 1.1184,                 1.3729,                 1.1147,              0.0010848,              0.0010848,              0.0010848
                     76,                0.91603,                 1.3854,                 1.0363,                0.66194,                0.81481,                0.75273,                0.54447,                 1.1184,                 1.3729,                 1.1147,                0.00108,                0.00108,                0.00108
                     77,                 1.0548,                 1.3757,                 1.0922,                0.72924,                0.68981,                0.77054,                0.56134,                 1.1138,                 1.3534,                 1.0971,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.1208,                  1.322,                 1.1264,                0.72924,                0.68981,                0.77054,                0.56134,                 1.1138,                 1.3534,                 1.0971,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.0011,                 1.3951,                 1.1365,                0.78683,                0.71335,                0.77208,                0.56683,                 1.1186,                 1.3485,                 1.0978,              0.0010659,              0.0010659,              0.0010659
                     80,                 1.0579,                   1.35,                 1.0708,                0.78683,                0.71335,                0.77208,                0.56683,                 1.1186,                 1.3485,                 1.0978,              0.0010612,              0.0010612,              0.0010612
                     81,                 1.1077,                 1.3619,                 1.1014,                0.82965,                0.73148,                0.79485,                0.58114,                 1.1467,                  1.333,                 1.1238,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.0084,                 1.3157,                 1.1171,                0.82965,                0.73148,                0.79485,                0.58114,                 1.1467,                  1.333,                 1.1238,              0.0010517,              0.0010517,              0.0010517
                     83,                0.94555,                 1.2262,                  1.036,                0.82965,                0.73148,                0.79485,                0.58114,                 1.1467,                  1.333,                 1.1238,               0.001047,               0.001047,               0.001047
                     84,                 1.0346,                  1.372,                  1.117,                 0.8686,                0.76852,                0.80416,                0.57709,                 1.1408,                 1.4028,                 1.1237,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.0647,                 1.3497,                 1.1779,                 0.8686,                0.76852,                0.80416,                0.57709,                 1.1408,                 1.4028,                 1.1237,              0.0010376,              0.0010376,              0.0010376
                     86,                0.98856,                 1.4148,                 1.1507,                0.77469,                0.78657,                0.79434,                0.55529,                 1.1509,                 1.4439,                 1.1393,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.0864,                 1.4155,                  1.166,                0.77469,                0.78657,                0.79434,                0.55529,                 1.1509,                 1.4439,                 1.1393,              0.0010282,              0.0010282,              0.0010282
                     88,                0.97133,                 1.1379,                 1.0305,                 0.7887,                0.68634,                0.75884,                0.50866,                 1.1268,                 1.4354,                 1.1345,              0.0010234,              0.0010234,              0.0010234
                     89,                0.97677,                 1.3447,                 1.0832,                 0.7887,                0.68634,                0.75884,                0.50866,                 1.1268,                 1.4354,                 1.1345,              0.0010187,              0.0010187,              0.0010187
                     90,                 1.0866,                 1.2323,                 1.1594,                 0.6488,                0.81481,                0.74584,                0.54777,                 1.1146,                 1.4045,                 1.1401,               0.001014,               0.001014,               0.001014
                     91,                 0.9942,                 1.1907,                 1.0575,                 0.6488,                0.81481,                0.74584,                0.54777,                 1.1146,                 1.4045,                 1.1401,              0.0010093,              0.0010093,              0.0010093
                     92,                0.94155,                 1.1978,                 1.0129,                 0.6488,                0.81481,                0.74584,                0.54777,                 1.1146,                 1.4045,                 1.1401,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.0482,                 1.1869,                   1.09,                0.85831,                 0.6985,                0.74448,                0.53271,                  1.102,                 1.3594,                 1.1173,             0.00099987,             0.00099987,             0.00099987
                     94,                0.96784,                 1.1276,                 1.0362,                0.85831,                 0.6985,                0.74448,                0.53271,                  1.102,                 1.3594,                 1.1173,             0.00099516,             0.00099516,             0.00099516
                     95,                0.93001,                 1.1533,                 1.0898,                0.72889,                0.73111,                0.72788,                0.50709,                   1.14,                 1.3631,                 1.1286,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.1225,                 1.3049,                 1.1324,                0.72889,                0.73111,                0.72788,                0.50709,                   1.14,                 1.3631,                 1.1286,             0.00098572,             0.00098572,             0.00098572
                     97,                0.99962,                 1.0892,                  1.039,                0.86848,                0.66204,                0.72513,                0.49796,                 1.1666,                 1.4107,                 1.1506,             0.00098101,             0.00098101,             0.00098101
